name,avis,link
97. Magic Castle,"4,5 sur 5 bulles405 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d941518-Reviews-Magic_Castle-Los_Angeles_California.html
98. The Henry,"4,0 sur 5 bulles56 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d14914235-Reviews-The_Henry-Los_Angeles_California.html
99. The Factory Kitchen,"4,5 sur 5 bulles273 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d5771804-Reviews-The_Factory_Kitchen-Los_Angeles_California.html
100. Joe's Falafel,"4,5 sur 5 bulles87 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d2646963-Reviews-Joe_s_Falafel-Los_Angeles_California.html
101. Century Taproom,"4,0 sur 5 bulles102 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d8554377-Reviews-Century_Taproom-Los_Angeles_California.html
102. Roscoe's House of Chicken & Waffles,"4,0 sur 5 bulles847 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d364727-Reviews-Roscoe_s_House_of_Chicken_Waffles-Los_Angeles_California.html
103. Boa,"4,5 sur 5 bulles124 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d3497948-Reviews-Boa-Los_Angeles_California.html
104. LA Prime Steakhouse,"4,0 sur 5 bulles262 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d1315925-Reviews-LA_Prime_Steakhouse-Los_Angeles_California.html
105. Monsieur Marcel's Gourmet Market And Bistro,"4,5 sur 5 bulles269 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d447885-Reviews-Monsieur_Marcel_s_Gourmet_Market_And_Bistro-Los_Angeles_California.html
106. Getty Center Restaurant,"4,5 sur 5 bulles860 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d350227-Reviews-Getty_Center_Restaurant-Los_Angeles_California.html
107. Mel's Drive-In,"4,0 sur 5 bulles1 049 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d375986-Reviews-Mel_s_Drive_In-Los_Angeles_California.html
108. Tao,"4,5 sur 5 bulles171 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d12360908-Reviews-Tao-Los_Angeles_California.html
109. The Great Greek Restaurant,"4,5 sur 5 bulles95 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d357546-Reviews-The_Great_Greek_Restaurant-Los_Angeles_California.html
110. Rainbow Bar & Grill,"4,0 sur 5 bulles514 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d1114095-Reviews-Rainbow_Bar_Grill-Los_Angeles_California.html
111. Mel's Diner,"4,0 sur 5 bulles172 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d5322534-Reviews-Mel_s_Diner-Los_Angeles_California.html
112. Catch LA,"4,0 sur 5 bulles567 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d11620640-Reviews-Catch_LA-Los_Angeles_California.html
113. Cici's Cafe,"4,5 sur 5 bulles118 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d1056585-Reviews-Cici_s_Cafe-Los_Angeles_California.html
114. Little Dom's,"4,0 sur 5 bulles197 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d1012130-Reviews-Little_Dom_s-Los_Angeles_California.html
115. Nick + Stef's Steakhouse,"4,0 sur 5 bulles231 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d364770-Reviews-Nick_Stef_s_Steakhouse-Los_Angeles_California.html
116. Shamshiri Grill,"4,0 sur 5 bulles175 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d468398-Reviews-Shamshiri_Grill-Los_Angeles_California.html
117. Girl & the Goat,"4,5 sur 5 bulles34 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d23583170-Reviews-Girl_the_Goat-Los_Angeles_California.html
118. Chateau Marmont,"4,0 sur 5 bulles558 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d1009480-Reviews-Chateau_Marmont-Los_Angeles_California.html
119. Jino's Pars - Persian restaurant Los Angeles,"4,5 sur 5 bulles145 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d4461685-Reviews-Jino_s_Pars_Persian_restaurant_Los_Angeles-Los_Angeles_California.html
120. El Coyote,"4,0 sur 5 bulles338 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d350499-Reviews-El_Coyote-Los_Angeles_California.html
121. Bacari W. 3rd,"4,5 sur 5 bulles29 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d15229551-Reviews-Bacari_W_3rd-Los_Angeles_California.html
122. Stout Burgers & Beers,"4,5 sur 5 bulles253 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d4231470-Reviews-Stout_Burgers_Beers-Los_Angeles_California.html
123. JOEY Woodland Hills,"4,0 sur 5 bulles133 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d8574686-Reviews-JOEY_Woodland_Hills-Los_Angeles_California.html
124. Denny's,"4,0 sur 5 bulles775 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d533733-Reviews-Denny_s-Los_Angeles_California.html
125. Papa Cristo's Greek Grill and Market,"4,5 sur 5 bulles112 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d364708-Reviews-Papa_Cristo_s_Greek_Grill_and_Market-Los_Angeles_California.html
126. Angelini Alimentari,"4,5 sur 5 bulles535 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d13742873-Reviews-Angelini_Alimentari-Los_Angeles_California.html
127. El Paseo Inn,"4,0 sur 5 bulles188 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d3224065-Reviews-El_Paseo_Inn-Los_Angeles_California.html
128. Leo & Lily,"4,5 sur 5 bulles76 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d2587287-Reviews-Leo_Lily-Los_Angeles_California.html
129. Scopa Italian Roots,"4,5 sur 5 bulles209 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d7995032-Reviews-Scopa_Italian_Roots-Los_Angeles_California.html
130. Barton G. The Restaurant,"4,5 sur 5 bulles242 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d6820740-Reviews-Barton_G_The_Restaurant-Los_Angeles_California.html
131. LA Market,"4,0 sur 5 bulles171 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d1792008-Reviews-LA_Market-Los_Angeles_California.html
132. Superba Food + Bread,"4,5 sur 5 bulles184 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d6649826-Reviews-Superba_Food_Bread-Los_Angeles_California.html
133. Spire 73,"4,0 sur 5 bulles136 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d12661246-Reviews-Spire_73-Los_Angeles_California.html
134. Bao Dim Sum House,"4,0 sur 5 bulles156 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d2390717-Reviews-Bao_Dim_Sum_House-Los_Angeles_California.html
135. Plateia,"4,5 sur 5 bulles50 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d11769729-Reviews-Plateia-Los_Angeles_California.html
136. The Little Door,"4,5 sur 5 bulles310 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d3572415-Reviews-The_Little_Door-Los_Angeles_California.html
137. Toast Bakery Cafe,"4,5 sur 5 bulles421 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d350178-Reviews-Toast_Bakery_Cafe-Los_Angeles_California.html
138. Bacari Pdr,"4,5 sur 5 bulles57 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d7314610-Reviews-Bacari_Pdr-Los_Angeles_California.html
139. Zinc Café & Bar,"4,5 sur 5 bulles116 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d7772742-Reviews-Zinc_Cafe_Bar-Los_Angeles_California.html
140. Soowon Galbi,"4,5 sur 5 bulles80 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d681346-Reviews-Soowon_Galbi-Los_Angeles_California.html
